Depth,Training Accuracy,Validation Accuracy
1,0.5014285714285714,0.49666666666666665
2,0.9669285714285715,0.9663333333333334
3,0.9669285714285715,0.9663333333333334
4,0.967,0.9661666666666666
5,0.9679285714285715,0.9643333333333334
6,0.9693571428571428,0.966
7,0.9703571428571428,0.9655
8,0.9727142857142858,0.9651666666666666
9,0.9746428571428571,0.9626666666666667
10,0.977,0.963
11,0.9797142857142858,0.9615
12,0.9815714285714285,0.9603333333333334
13,0.984,0.9585
14,0.9862142857142857,0.957
15,0.988,0.9555
16,0.9897142857142858,0.9548333333333333
17,0.992,0.9525
18,0.9931428571428571,0.953
19,0.9950714285714286,0.9531666666666667
